arabic,english
لقد قال انه سعيد,he said that he was happy
من الجيد معرفه ذلك,thats good to know
لست متاكدا حيال ما كان يتحدث توم عنه,im not sure what tom was talking about
زرنا طوكيو مرات عديده,we have been to tokyo many times
يصنع النحل العسل,bees make honey
ليس هناك ما نناقشه,theres nothing to discuss
بكين هي عاصمه الصين,beijing is the capital of china
و كيف لي ان اعرف,how should i know
هذا الكتاب لا يستحق ان يقرا,this book isnt worth reading
لولا نصائحك لفشلت,without your advice i would have failed
انا اتتطلع لعطله الصيف,im looking forward to summer vacation
علي ان ادرس,i have to study
رفضت الضحيه اقامه دعوي قضائيه,the victim declined to press charges
نظرته لا تسر,he has an unpleasant look in his eyes
ذهبت الي كيوتو مرتين,ive gone to kyoto twice
متي تنوي السفر الي اليابان,when do you plan to leave for japan
كان معه مئه ين فقط,he had only one hundred yen with him
كان هناك حصن علي تلك الهضبه في يوم من الايام,there used to be a small castle on this hill
كتبنا انا وتوم عده كتب معا,tom and i have written several books together
من المهم ان تتذكر من هم اصدقاؤك,it is important to remember who your friends are
اعطي توم الشرطه عنوانا خاطئا,tom gave the police a false address
متي وصلت الي مطار ناريتا,what time did she arrive at narita airport
انت عليك فقط ان تعدني بشيء واحد,you just have to promise me one thing
فقد توم حاسه الشم,tom lost his sense of smell
تهاني,congratulations
لقد تعاملت مع توم من قبل,ive done business with tom before
انت وصلت مبكرا جدا,you arrived too early
تصدر المجله كل اسبوع,the magazine comes out every week
انها صغيره جدا,its too small
لا اعرف اي شخص هناك,i dont even know anybody there
لا غني لنا عن مساعدته,his help is indispensable to us
لم يعد يثق به احد بعد الان,no one trusts him any more
لا تصلحه اذا لم يكن منكسرا,dont fix it if it aint broke
كيف تشعر الان,how do you feel now
كثير من الناس يقومون بذلك,a lot of people do that
توم كان لديه شئ مهم لقوله ولكن ماري كانت تقاطعه باستمرار,tom had something important to say but mary kept interrupting him
هذا قائمه ما نحتاج,this is a list of what we need
شكرا عفوا,thank you youre welcome
مات السنه الماضيه,he died one year ago
ماري تعزف البيانو,mary plays the piano
شاهد توم التلفاز بالامس,tom watched tv yesterday
الشرطه انطلقت لتحل الجريمه,the police set out to solve the crime
كان من المفترض ان نكون حذرين اكثر,we should have been more careful
طلبت مني المساعده,she asked me for help
اتت الي هنا حقا,she did come here
ذهب الي المحل,he went to the store
هذه اخبار طيبه,thats good news
لا نستطيع النوم بسبب الضجيج,we cant sleep because of the noise
اشعر بالبرد,i feel cold
لن يصلح ذلك,that wont work
لم ادفع ثمن التذاكر بعد,i havent paid for the tickets yet
ماذا كنت ستقول لو كنت في مكاني,what would you say if you were in my place
لقد نفذ ما لدينا من الغاز,we have run out of gas
خذ هذا الكرسي فهو صلب,take this chair its sturdy
اتريد حقا من توم ان يفعل ذلك,do you really want tom to do that
سيصبح ابني معلما,my son is going to be a teacher
اريد الاجابه علي السؤال الاخير اولا,i want to answer the last question first
موسيقاي المضله هي موسيقي البوب,my favorite music is pop music
لم اسمع في حياتي بهذا البته,never in my life have i heard such a thing
زوجتي طبيبه,my wife is a doctor
يقود توم سياره مستورده,tom drives an imported car
لا اشك في قدرته علي فعلها,i dont doubt his ability to do it
اي فصل من فصول السنه تحب اكثر,what season do you like the best
انك تعمل بجد,you work hard
ما نوع البيتزا المفضل لديك,whats your favorite type of pizza
دائما يتاخر عن المدرسه,he is always late for school
بدت و كانها لم تاكل منذ ايام,she looked as if she hadnt eaten in days
انها مغنيه,she is a singer
انت موهوب حقا,youre really talented
انه لم يكن مدعو,he was not invited
عما تبحث,what are you looking for
اعترف اني مخطئ,ill admit im wrong
توم تجوز فتاه محليه,tom married a local girl
تحرك عقرب الثواني الخاص بالساعه,the clock ticked
حان وقت النوم,its bedtime
اني اقرا كتابا عن الحيوانات,i am reading a book about animals
اريد اجابه منك في اسرع وقت ممكن,i want an answer from you asap
متي حصل الحادث,when did the accident take place
هذه السياره له,this car is his
سابذل جهدي الا ازعجك وانت تدرس,ill try not to disturb you while youre studying
انه خطاي,that was my mistake
هل تذكر رقم جواز سفرك,do you remember your passport number
استرح,stand at ease
ذهبت الي المستشفي لزيارته,i went to the hospital to visit him
ساحاول ما استطعت الا اقاطع مذاكرتك,ill do my best not to disturb your studying
احتاج لمزيد من الوقت لانهي واجبي,i need more time to finish my homework
نزرع القمح هنا,we grow wheat here
ايمكنك رؤيه الفرق,can you see the difference
انه مبتديء,he is a beginner
